Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
MECOM	NA	NA	NA	NA	517	0.5096	38.5228787452803	-0.298155	0.362585	-2.242556	-0.253707	-0.350262	-0.661192	1.51952	-0.415953	-1.086775	-0.477393	-0.571167	0.716098	-1.567747	-0.409575	-0.308388	0.396087	0.651685	-0.888108	0.912747	-0.117159	-1.387169	NA	0.720837	-0.019516	-0.892326	0.132376	0.639573	0.257684	0.15713	-0.463023	0.964949	-0.352497	0.854121	-0.106321	-0.502616	-2.074609	0.691471	-0.501773	0.234466	-0.128765	0.129784	-0.597958	0.509229	-0.22458	-0.218952	0.571568	-1.346812	0.480912	NA	0.0020302	0.501812722	0	0.494209116	0	0.501812722	NA	NA	NA	NA	NA	-0.99	NA	0	0.0196327	0.290323	0.00938726	0.011	4.28735771	7.48035	8.69762	9.73599	0.999085313439389	4	580119	NA	NA	1129.59722	NA	0.682115436	1	0	5.44897155748371	NA	NA	0.879368183	0.45	0.999	NA	5.855664	0.996905191310568	0.462872028865361	5.55	5.55	0.999992946803654	0.038593	0.0818	-0.9006	NA	0.090914	-0.2	0.493	0.249	3.55	0.96514	0.706548	0.83298	NA	NA	NA	11.5366	1.47928	1170	1.86511	possible
MGC10955	NA	NA	NA	NA	50	-0.6337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.047001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	922	NA	NA	3.53068	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2297	NA	1.43334	NA	NA	least likely
MLH1	0.292	0.079	0	NA	45	-0.3807	NA	0.1075	0.122187	-0.066999	-0.235463	-0.982774	-0.188037	0.322356	-0.502728	-0.293483	-0.587856	0.465567	0.100667	-0.5526	0.217646	-0.40296	0.122433	0.08627	-0.326277	0.181497	0.084428	0.122986	0.166896	-0.426258	0.064253	-0.180031	0.08082	-0.095307	-0.240059	-0.069422	0.55169	-0.494709	0.096729	0.134273	0.150838	0.105931	0.13187	-0.207604	-0.238037	-0.150207	0.097822	0.103907	0.213402	0.12193	-0.220667	-0.185072	-0.18294	0.555724	-0.511622	0.137009	0.01338	0.52395663	0	0	0	0.52395663	2	5	2	NA	NA	0.51	NA	NA	NA	NA	NA	NA	8.26567547	5.06581	30.3766	10.5434	0.739578311354265	7	72557	NA	NA	1715.16552	1	0.650545239	0	0	8.3322789887496	NA	NA	NA	0.11	0.997	0.00165	4.515604	0.99909823647782	0.510337219992492	5.56	5.56	0.999999999004706	0.164751	0.3649	-0.3847	2.725	0.827543	-4.25	0.204	0.759	-3.08	0.97279	0.706548	0.83678	FALSE	NA	NA	46.8034	1.3745	45	1.56272	probable
MLLT3	NA	NA	NA	NA	567	0.476	12.698970004336	-0.102605	-0.122804	0.186424	-0.143707	0.166042	-0.116586	-0.576663	0.477334	-0.131524	-0.609911	-0.125242	-0.072612	-0.366094	-0.383411	-0.471639	0.101034	0.249344	0.409295	0.199707	0.104274	-0.453444	-0.251047	0.113846	-0.30702	-0.127361	-0.058972	0.206009	-0.905869	0.861389	-0.360097	0.573431	-0.222744	0.287843	0.290602	-0.187395	-0.552678	-0.437919	0.180908	0.375052	-0.122029	-0.316581	-0.162774	0.515108	0.145767	0.164661	0.162642	0.332043	0.973141	0.111045	NA	0.505882093	0	0	0	0.505882093	NA	NA	NA	NA	NA	-0.36	NA	NA	NA	NA	NA	NA	4.66879313	7.7212	14.7242	10.4145	0.99559104959863	6	280879	NA	NA	58.09904	1	0.824708164	1	0	NA	NA	0	0.168364934	NA	NA	0.0415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33553	15.2254	1.39114	381	1.95735	possible
MME	0.332	0.821	0.737	NA	1040	-0.3382	11	-0.4336	1.030439	-2.308526	1.262503	-0.967734	0.886748	2.099877	0.597821	-2.521319	1.763048	-1.021921	1.501415	1.139613	2.596461	-0.96691	-1.58335	-1.462193	2.604638	-6.643856	-0.387869	-1.00562	-1.093301	2.400864	-1.577754	-0.614501	-1.264763	0.904062	0.93186	1.674544	-0.013399	1.088462	-2.451486	0.909346	-0.224238	0.239832	3.583589	-2.670353	3.049092	-0.527435	-1.001101	0.894909	-1.262046	1.732828	1.48714	-0.370766	-1.908537	1.284654	-1.083847	-0.228732	0.0036839	0.51454177	0	0	0	0.51454177	3	NA	NA	NA	NA	-0.69	NA	0.0967742	0.0270696	0.383333	0.0153021	0.017	12.90950108	7.7129	17.8073	8.99719	2.19309064304115e-08	22	159584	NA	NA	140.44703	NA	0.743839204	1	0	NA	NA	2.5	NA	0.04	0.759	0.0163	3.603149	0.996902837252253	0.327568485081668	5.93	2.09	0.944796861574049	0.043134	0.4254	-0.3115	1.98	0.750114	-5.99	0.669	0.538	-0.87	0.91152	0.693126	NA	NA	NA	4.34593	11.8656	NA	NA	NA	most likely
MPL	NA	NA	NA	NA	712	-0.2642	11	0.403316	0.358101	-1.611328	-2.685112	0.694749	0.962038	-1.30155	2.260224	-6.643856	-6.643856	-6.643856	-6.643856	0.963799	-2.291203	-6.643856	0.588055	1.019393	0.712517	-6.643856	-0.347881	NA	NA	-0.480913	-1.854367	-0.626202	1.058583	-0.743213	0.327884	-6.643856	-0.978038	NA	0.489917	0.827577	0.322647	0.400915	-1.116142	1.180179	0.494813	0.693023	0.927783	0.309384	-2.902393	-0.702236	-0.577057	0.340193	-0.859346	0.787988	0.573813	-5.384736	0.069571	0.894080968	0.894080968	0.395367293	0	0.508043786	2	5	3	NA	NA	-0.53	NA	0	0	1	0.00121912	0.001	5.8717989	5.14396	11.3745	6.82098	1.43928006099179e-06	6	14965	NA	NA	264.93653	NA	0.597733259	0	0	NA	NA	NA	NA	0	0.471	0.343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.73851	17.3118	1.5716	5	2.49314	probable
MTHFR	0.197	0.082	0	NA	1	NA	103.397940008672	0.267323	1.276947	0.397772	0.21324	0.267981	0.27912	0.268234	0.174692	0.158351	0.290405	0.370161	0.193752	0.13133	0.19458	0.146904	0.258432	0.19814	0.334546	-0.246921	-0.177092	0.294123	0.409165	0.251071	0.235502	0.213334	0.24393	0.233616	0.599134	1.150441	-0.415436	-2.739266	0.656567	-0.254427	0.250931	0.6769	0.440363	0.281949	-0.148093	-0.43609	0.316355	0.284654	0.327622	0.233692	0.752401	-0.171064	0.229364	-1.052583	0.914502	0.531947	0.011058	0.509669043	0	0	0	0.509669043	2	5	2	NA	NA	0.09	61	NA	NA	NA	NA	NA	1.99733796	10.5996	8.00741	14.6606	2.45515809266206e-07	3	21197	NA	NA	4524.99996	1	0.37917918	1	0	NA	NA	7.125	NA	0.71	1	0.21	4.103936	0.999400387600256	0.821737105463187	5.66	5.66	1	0.178234	0.8601	0.8836	2.875	0.884177	-2.87	0.558	0.881	-3.13	0.91293	0.72623	0.01124	FALSE	NA	NA	15.5167	1.74142	54	1.87881	probable
MTNR1B	0.06	0.341	0	NA	21	-0.1934	174.221848749616	NA	NA	NA	NA	NA	NA	NA	NA	-6.643856	NA	NA	NA	NA	NA	1.325339	-0.741099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.221937	NA	NA	NA	NA	0.083146	0.501552105	0	0	0	0.501552105	2	4	2	NA	NA	-0.02	179	NA	NA	NA	NA	NA	1.74820254	NA	NA	NA	0.00870272985599477	1	15346	NA	NA	324.5184	NA	0.501750886	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.76915	NA	NA	NA	NA	probable
MTRNR2L5	NA	NA	NA	NA	58	0.505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15158	0.50000163	0	0	0	0.50000163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99932516	NA	NA	NA	NA	NA	1738	NA	NA	1618.50988	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
MTRNR2L6	NA	NA	NA	NA	57	-0.4319	NA	NA	-0.564081	-1.500293	NA	NA	NA	-2.889306	-0.833125	-2.047434	0.71421	0.781503	-6.643856	0.486325	-1.824583	-0.506397	-0.975824	1.311345	1.285498	-6.643856	NA	NA	-2.01281	0.734345	-1.749891	-6.643856	NA	0.379827	-1.582353	-1.613294	-6.643856	-6.643856	-0.596081	NA	0.418428	NA	NA	-2.979671	-1.624757	-2.300753	0.617308	-0.778058	1.678502	NA	-0.764722	-6.643856	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9940426	NA	NA	NA	NA	NA	1446	NA	NA	4.81382	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4512	NA	NA	NA	NA	least likely
MYH11	0.198	0.444	0.147	NA	128	-0.446	17	-0.228153	0.307642	-0.42158	0.10001	0.434533	-0.075102	0.795714	-6.643856	0.493015	0.799985	1.861094	0.837424	-6.643856	1.578767	2.504231	0.785708	1.001971	2.191457	-6.643856	-0.320994	1.213675	-6.643856	-0.4752	-0.760845	0.041561	0.191615	0.000802	-0.513733	-1.629622	-6.643856	-2.231107	-0.191223	-3.146494	0.427489	0.397656	-0.647656	-1.004546	0.557782	-1.198133	0.554955	-1.041074	0.443705	-0.334332	-0.205063	0.419062	-0.985069	1.253817	1.987496	-1.639578	0.0085491	0.957427108	0.957427108	0.787925159	0	0.523343755	NA	NA	NA	NA	NA	-3.1	NA	1	0.0163061	1	0.0149503	0.015	4.89364881	8.75916	12.9091	8.76335	0.998956488496709	151	153861	NA	NA	2033.84967	NA	0.747131348	1	1	6.70166601754392	NA	NA	0.551141352	1	1	0.00613	4.218341	0.998794283262482	1.09761427870401	5.91	5.75	0.99999978709419	0.547314	0.8649	1.0389	4.51	0.963945	0.67	0.856	0.918	-0.77	0.97806	0.554377	NA	NA	NA	5.90124	10.4549	1.73267	48	1.68211	possible
MYH6	0.146	0.412	0	NA	1	NA	99.698970004336	0.637899	1.574057	1.32285	-3.454201	-6.643856	-6.643856	1.300195	3.850186	3.899291	3.631763	0.916372	-6.643856	3.886898	-3.027044	-3.514571	-1.187743	2.646099	2.56338	1.221026	4.347351	1.330917	1.65866	-3.867948	-2.005174	1.529554	-0.729885	-3.021598	0.934125	1.18471	-3.749907	-0.969207	0.689385	-6.643856	1.101022	-6.643856	2.061115	1.50199	-0.871616	-1.361328	2.53066	-0.615453	2.857863	-1.642695	-1.449784	0.569691	-0.931636	-6.643856	1.749432	-6.643856	0.003148	0.605076447	0	0.558572271	0	0.605076447	1	NA	NA	NA	NA	-2.78	NA	0	0	0.883333	6.44122	0.003	7.02337534	NA	NA	NA	1.27598576115295e-17	20	26287	NA	NA	5098.77916	1	0.495365709	1	0	NA	NA	NA	0.818066318	0.06	1	0.0684	3.989891	0.9991053582312	0.889656373771967	4.82	4.61	0.999994901888918	0.667605	0.9765	1.1007	4.57	0.946205	-0.85	0.774	0.913	-2.23	0.99316	0.516011	NA	NA	NA	3.71004	NA	NA	NA	NA	probable
MYH7	NA	NA	NA	NA	1	NA	14.1549019599857	2.780004	1.581809	1.958093	-1.107345	-6.643856	-1.581724	-6.643856	0.922948	-1.239239	1.560675	1.952086	-3.501442	-2.147331	2.646038	2.030914	-1.017961	1.297812	1.907736	-6.643856	-6.643856	1.597266	0.803602	-5.225998	2.292077	1.58838	-6.643856	1.062417	1.721132	0.747702	-6.643856	-2.498773	2.13803	1.188429	-0.373712	-0.744555	2.306117	0.351498	1.925277	-1.679688	-6.643856	-0.784233	-3.551964	-3.799659	3.26633	0.68629	1.699638	1.73203	3.469803	1.267986	0.12532	0.957427108	0.957427108	0	0	0	1	NA	NA	NA	NA	-3.64	NA	0	0.000313283	0.383333	0.00166923	0.001	5.87436508	NA	NA	NA	0.000145766291646031	17	22980	NA	NA	108.56923	1	0.631864309	0	0	5.69267673669403	NA	NA	0.440898035	0.49	0.974	0.0412	4.43686	0.999069717460277	0.996127431523281	4.88	4.88	0.999999999978201	0.959349	0.9257	1.0776	4.25	0.951942	-4.37	0.778	0.935	-1.54	0.9956	0.497415	NA	NA	NA	2.81299	NA	NA	NA	NA	probable
MYH7B	NA	NA	NA	NA	31	-0.178	254.221848749616	0.279154	0.310844	0.346066	0.500059	0.410896	0.456482	-5.575167	-0.720489	-0.893814	0.459113	0.478733	0.282336	0.13647	-1.125092	-1.420254	-1.134933	-0.172476	-1.237183	-4.154105	0.35716	0.344201	0.804045	0.323693	0.275147	0.305371	0.386763	0.320266	0.196622	0.21484	1.087637	0.392745	0.329498	-0.599235	0.662678	0.329433	0.292815	0.339865	0.217516	1.166587	0.282311	0.207624	0.554481	0.325152	0.272834	-0.619784	0.295744	1.081299	0.374028	0.359286	0.099276	0.501843027	0	0	0	0.501843027	1	NA	NA	NA	NA	-0.89	NA	0	0	0.0666667	0	0	2.98610432	NA	NA	NA	1.33080887914663e-23	18	27034	NA	NA	2287.01575	NA	0.781591654	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04762	NA	NA	11	2.07547	probable
MYO9B	0.182	0.432	0.022	NA	40	-0.3687	63	-0.071364	0.192154	-0.138462	0.094007	-0.104707	-0.111668	-1.140291	0.104458	0.355622	-0.551037	0.189583	0.132118	-0.116954	-0.130361	-0.136537	1.655208	-0.273729	0.250038	0.287391	-0.104933	-0.088238	0.725089	-0.13331	-0.072421	-0.165076	-0.137137	-0.093802	0.087831	-0.100222	-0.273172	0.649904	-0.076091	0.206961	0.10253	0.073476	0.168299	-0.174159	0.089097	-0.126438	0.284872	-0.063813	0.751274	0.081564	0.199761	0.213072	-0.118807	-0.25014	-0.112828	-0.089374	0.045282	0.504688016	0	0	0	0.504688016	3	NA	NA	NA	NA	-0.86	NA	NA	NA	NA	NA	NA	7.54165982	8.80628	6.45634	13.3757	0.999998877096737	5	138755	NA	NA	547.26349	1	0.792072892	0	0	NA	8.8056	NA	0.571084641	0.45	1	0.0526	4.131799	0.998932886129387	0.99278872201577	5.3	5.3	0.999999980207097	0.393198	0.915	1.0677	3.91	0.805883	-1.99	0.911	0.911	0.48	0.99285	0.732398	0.74118	TRUE	NA	NA	14.8335	2.06514	467	6.94027	most likely
NBPF6	NA	NA	NA	NA	784	0.5874	10.2218487496164	NA	NA	NA	1.043085	2.475969	-0.722795	NA	NA	-0.849496	NA	NA	NA	NA	NA	NA	NA	0.749802	NA	NA	0.474997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.316768	NA	NA	NA	-0.969612	NA	NA	-0.45408	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.0874538512080049	NA	95203	NA	NA	3780.70014	1	0.111908376	0	0	NA	NA	NA	NA	0.05	0.994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
NDUFA2	0.02	0.388	0	NA	37	-0.4375	9.69897000433602	-0.324902	-0.072058	-0.079025	-0.084917	0.100095	0.106086	0.289011	-0.11393	-0.156832	-1.397755	-0.407895	-0.142222	-0.52645	-0.127647	0.098421	-0.827	-0.140434	-0.349125	-0.601302	0.065333	-0.08416	-0.136246	-0.061276	-0.072886	0.369735	-0.061801	-0.149312	-0.070459	0.070634	-0.351161	-0.115138	-0.059196	0.106941	-0.090045	-0.05777	-0.149274	-0.086136	-0.382038	0.098493	-0.280827	0.041183	0.591534	-0.115797	0.277776	-0.070755	0.143971	0.075823	-1.402838	-0.153172	0.0053679	0.504575901	0	0	0	0.504575901	1	NA	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	2.00140612	12.1361	29.4289	9.02497	0.339536516355874	4	9045	NA	NA	11.36697	1	0.432313383	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	5.19377	19.1706	1.38159	23	1.58058	probable
NDUFS3	NA	NA	NA	NA	256	-0.4045	20.397940008672	0.039738	0.174811	0.058001	0.139013	-0.218433	-0.115198	0.132009	0.192014	0.101539	0.134641	0.095068	-0.200274	-0.153536	0.274033	-0.255437	0.091973	0.367209	-0.213632	0.35803	0.264992	-0.070428	0.155161	0.040527	-0.198144	-0.263865	-0.147829	0.251297	0.091516	0.06453	0.177359	0.335075	-0.167397	0.200245	0.110405	-0.156065	-0.242775	-0.273774	-0.083492	-0.283594	-0.170293	-0.112039	-0.149265	-0.135177	-0.324372	0.208699	-0.049948	0.233504	0.169897	0.145028	NA	0.504860922	0	0	0	0.504860922	1	NA	NA	NA	NA	-0.16	NA	NA	NA	NA	NA	NA	5.62602042	7.38494	17.1998	8.74434	0.0471370341289045	1	19226	NA	NA	27.09868	1	0.320700407	0	0	NA	NA	NA	NA	NA	NA	0.405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	20.6514	1.65158	8	3.36214	probable
NEDD4L	NA	NA	NA	NA	102	0.3845	21.698970004336	-0.276575	-0.81587	-0.971096	-0.395025	-1.146556	-0.66692	-0.215284	-0.476871	0.234176	-0.226981	-0.187398	0.32375	-0.140762	0.351201	-0.231159	-0.653373	0.109284	0.299155	0.656607	0.319353	-0.738765	-1.48533	0.305296	0.193909	0.177678	0.186176	0.343498	-0.184678	-0.151996	0.431647	-0.843659	0.335218	-0.331224	-0.55445	0.100678	1.982056	0.548507	0.603323	0.299071	-0.395808	-0.326687	0.094777	-0.487266	-0.267358	-0.236368	-0.129841	5.291542	-0.719963	-0.274544	0.016567	0.899703515	0	0.899703515	0	0.511653769	3	NA	NA	NA	NA	-1.2	NA	NA	NA	NA	NA	NA	7.68047773	8.55226	9.23749	10.735	0.999966646256687	11	357173	NA	NA	42.02222	NA	0.824708164	1	1	NA	NA	2.5	0.766814937	0.25	0.89	0.566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	2.69731	15.6585	1.96094	1035	1.2611	most likely
NEUROD4	NA	NA	NA	NA	656	-0.5093	5.52287874528034	NA	NA	-0.543328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.649904	NA	NA	NA	NA	NA	NA	0.462439	NA	NA	NA	NA	0.0025493	0.500328933	0	0	0	0.500328933	NA	NA	NA	NA	NA	0.88	NA	0	0.000313283	0.718121	0.00771307	0.006	0	NA	NA	NA	0.140552618676384	1	10069	NA	NA	133.06333	NA	0.444330692	0	0	NA	NA	NA	NA	NA	NA	0.243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00961	NA	NA	2.36265	NA	NA	26	1.14667	least likely
NFKBIA	NA	NA	NA	NA	26	-0.3825	37.301029995664	0.214652	-0.191205	0.859705	0.187652	0.82565	0.303789	-0.384587	1.450146	1.692871	0.238173	-1.903845	0.209217	-0.567547	0.83524	-2.291346	-0.195145	1.049288	-0.673243	0.478999	-0.936904	-0.307936	-0.704772	0.437909	0.224891	-0.123871	-0.179324	0.130508	0.395658	0.240955	-6.643856	-0.72973	0.213295	1.709448	0.579429	0.409568	0.80936	0.138353	-0.658384	-0.844284	-0.485826	0.287396	1.267778	0.771344	0.976169	-0.119141	0.290142	-1.676305	0.626971	-0.863724	NA	0.504931942	0	0	0	0.504931942	NA	NA	NA	NA	NA	-0.27	NA	NA	NA	NA	NA	NA	5.42051031	13.7026	28.6958	24.8197	0.97935202641697	32	3238	NA	NA	27.87219	NA	0.782960892	1	0	NA	NA	1.75	NA	NA	NA	0.0566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	11.4025	1.42937	87	1.26651	possible
NOS3	0.057	0.397	0	NA	32	0.2836	48.698970004336	0.182686	-0.467723	-0.888604	-1.746007	1.495106	0.327478	-0.496276	0.389723	1.244803	0.367974	-0.392432	-6.643856	-0.508269	-2.232726	1.577293	0.308106	1.456891	-0.659923	0.733001	-1.153188	-0.709649	1.035306	0.321889	-0.971972	0.35362	-0.265611	-0.197747	-0.455284	-1.841745	-1.082695	1.247672	-0.582323	-0.462743	-0.304055	0.537158	-1.889731	-0.726925	-1.260198	-2.169007	0.183297	0.160076	0.359484	0.444049	-0.587228	0.46935	-0.21594	0.56464	1.170031	-0.447013	0.15419	0.957427108	0.957427108	0.882196062	0	0.517214041	2	5	3	NA	NA	-1.1	57	0	0.00744819	0.75	0.0018622	0.003	9.79939448	11.9665	13.7748	10.7555	2.21161070571318e-05	3	23593	NA	NA	363.12652	1	0.636561334	1	0	5.76277491098999	NA	3.25	1.148325837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1651	FALSE	NA	3.73468	8.60188	1.29983	18	1.61458	probable
NOTCH3	NA	NA	NA	NA	30	-0.1343	15.397940008672	-0.302826	0.098377	0.740043	-0.509495	0.440877	0.346254	1.073424	-3.079616	-3.398124	0.926136	0.408286	1.537555	0.667423	-1.711213	-1.781676	0.194994	0.302118	0.824046	-1.857505	0.40511	-0.450677	-0.442653	-0.714673	-0.265719	-0.619685	-0.227126	-0.668002	-0.415043	-0.573298	1.519208	-1.430464	-0.439169	0.554133	0.118508	-0.154984	-6.643856	0.465978	-0.512734	0.870304	0.066464	-0.08587	-1.015267	0.257359	-0.505161	0.158828	0.124117	-0.500335	0.43295	-0.878817	0.0034315	0.957427108	0.957427108	0.570354007	0	0.506392307	NA	NA	NA	NA	NA	-1.29	NA	0.857143	0.0156516	0.826446	0.0223798	0.02	8.93466965	7.39595	NA	NA	0.207712384985181	1	41348	NA	NA	1985.01297	NA	0.715312243	1	1	NA	NA	NA	0.760472081	0.45	1	0.0358	2.350149	0.97606962120187	-0.214804414104607	4.26	4.26	0.999999919991315	0.066597	0.3146	-0.6576	1.78	0.530966	-3.58	0.511	0.407	-1.54	0.96101	0.67177	NA	NA	NA	6.31391	NA	NA	NA	NA	possible
NOTCH4	0.277	0.575	0.729	NA	426	-0.2953	37.698970004336	-0.582617	-0.602337	-0.365512	-0.389584	-0.527642	-0.471211	-0.328029	-0.359242	-0.311111	-0.330088	-0.348675	-0.390562	-0.339944	-0.407732	-0.362467	-0.323457	-0.41033	-0.379233	-0.802031	-0.504179	0.527557	1.710849	-0.327847	-0.366766	-0.3793	-0.459886	-0.436794	-0.376117	-0.388243	0.572237	-0.548711	-0.41023	-0.612616	-0.398313	-0.398339	-0.351285	-0.345534	-1.653635	-0.458301	-0.526896	-0.458144	-0.353274	-0.439372	-0.384388	-0.23811	-0.318818	-0.723193	-0.44634	2.216486	NA	0	0	0	0	0	NA	NA	NA	NA	NA	0.15	NA	0.0384615	0.00226684	0.0664062	0.00040494	0.003	8.84950791	8.81007	8.82569	6.35309	1.19532150508521e-10	10	29224	NA	NA	4975.85094	NA	0.594703972	1	1	NA	7.0446	2.5	0.979717618	0.1	0.067	0.138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66742	NA	NA	NA	8.75233	1.99579	NA	NA	possible
