Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
TET1	0.102	0.462	0.033	NA	43	-0.4053	40.2218487496164	0.941453	0.610325	0.282458	0.576717	0.556353	0.370151	0.599747	0.35825	0.30476	0.39738	1.28251	1.34974	0.364188	0.327951	0.345695	0.387843	0.345505	0.317734	0.725577	0.340389	0.89142	1.43099	0.781864	1.54567	1.44296	0.725215	0.354543	0.744884	0.259174	0.568672	1.19868	0.326154	0.159337	0.204831	0.296285	0.150878	0.432546	1.37898	0.115329	2.81201	1.81086	0.153373	0.63206	0.979209	0.565345	0.639264	0.318702	0.31623	0.358653	0.412705	1.15612	1.23133	0.901438	0.0409941	-0.177521	0.763282	-0.210562	0.223042	0.877921	-0.882231	-1.631007	-1.848463	-0.206114	0.298955	-0.24267	-1.440887	-3.001065	0.885018	2.688809	-1.124712	0.404188	0.949965	-2.452544	0.135293	0.097819	0.903425	0.165891	-1.632812	0.37135	0.432754	0.200739	0.549231	-1.141873	0.704396	0.56959	0.351262	0.185953	-0.835117	-0.086245	1.200599	-2.659279	-0.563914	0.468853	-0.933164	-0.558167	1.094681	-6.643856	-0.180584	-0.219414	0.182649	-1.052988	-1.125151	0.980695	0.02223	0.500004971	0	0	0	0.500004971	NA	NA	NA	NA	NA	0.4	NA	NA	NA	NA	NA	NA	1	47	6	0	149	7.28856	36	12.580955	76	11.9955	0.9995632776113	0	133826	NA	NA	4993.56015	1	0.233205885	0	0	15.3808897981927	NA	NA	1.192518172	0.998	0.999127514891561	3.746943	0.9121	0.74766	0.3247	0.80058	0.8357	0.86425	0.676	0.98959	0.97449	0.325	0.83678	unknown
TEX14	0.174	0.048	0.001	NA	645	0.3557	13.698970004336	0.220188	0.266157	0.186299	0.282494	0.275852	0.280353	0.209273	0.296453	0.216602	0.301684	1.69892	1.68882	0.302268	0.274185	0.375121	0.429934	0.27093	0.282779	0.499865	0.304988	0.389743	0.0791726	0.440972	0.404944	0.462318	0.396646	0.204058	0.263541	0.0869837	0.240925	0.495986	0.122757	0.0732758	0.0929977	0.38249	0.180945	0.625525	0.238526	0.0610275	0.400717	0.671027	0.107563	0.4394	0.603237	0.217667	0.235876	0.251294	0.592423	0.226038	39.6687	0.163744	0.405762	0.204462	0.047924	0.743051	0.611653	-2.493152	0.655607	0.538435	0.798145	0.605519	0.676036	0.59914	0.353272	-0.376495	0.659691	0.520284	0.782939	0.59895	-0.723513	0.785453	0.804563	0.825148	0.669471	0.728305	0.431686	0.611894	0.494034	0.711776	0.845584	0.753004	0.824167	0.800151	-1.144891	0.60637	0.405771	0.767646	0.980272	1.099226	-0.892456	0.836037	0.593195	0.4868	0.795221	0.806407	0.508414	0.534769	0.382707	-0.131348	0.746631	0.963686	1.047131	0.675719	0.0055387	0.50034423	0	0	0	0.50034423	NA	NA	NA	NA	NA	-0.87	NA	NA	NA	NA	NA	NA	2	77	144	6.87951672	187	6.86179	85	9.8442	110	36.3878	0.0000000000000000000000667135466367958	15	135377	NA	NA	357.41532	NA	0.145488262	0	0	NA	NA	NA	NA	NA	NA	2.229014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
TFAP2D	0.544	0.931	0.921	NA	1190	0.3941	14	0	0	0	0	0	0	0	0.660752	0	0	0	0	0.0495511	0.0504128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0638375	0	0	0	0	NA	NA	NA	NA	NA	NA	-6.643856	NA	NA	NA	NA	0.795035	-2.67315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.850058	NA	NA	NA	NA	0.0044263	0.500072749	0	0	0	0.500072749	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	4	16	NA	1.90038475	NA	NA	NA	NA	NA	NA	0.981586998492109	0	59160	NA	NA	509.04894	NA	0.782939255	0	0	NA	NA	NA	NA	0.031	NA	2.410301	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0231	NA	unknown
TFAP4	0.283	0.462	0	NA	70	0.3112	25.301029995664	10.3939	7.03501	5.57388	5.04521	6.30727	7.02589	10.2979	3.28996	4.1938	5.08586	25.4122	22.7406	5.63619	6.23854	3.68858	5.26034	5.9437	4.20076	5.78364	3.77676	10.055	15.6979	18.5468	18.2361	17.3932	8.06001	7.70046	5.7331	10.6482	5.24484	16.3735	2.16067	1.56177	3.02966	5.02974	3.85409	7.95918	9.21354	4.52021	15.1941	18.613	7.25643	9.59621	11.4079	15.5198	16.2156	11.7855	13.1578	6.39878	3.64563	9.79383	17.823	15.0429	2.54168	0.346487	-0.331905	0.257442	-0.185012	-0.94957	0.144049	0.719231	-0.332642	0.129009	-0.929748	-0.839023	-0.392278	-0.114154	-0.717933	0.163168	0.957505	0.207817	-0.725482	1.037474	0.476699	-0.153449	0.369551	-1.481874	0.06835	0.409913	-0.322322	0.318837	0.2091	-0.151205	0.767164	-0.353821	-0.097573	-0.197252	0.320432	-0.376995	-0.936052	0.141387	-0.188378	0.414101	-0.220404	0.299912	0.390227	0.111932	0.509856	-0.457603	0.065627	-0.432392	1.082899	0.089628	NA	0.50005712	0	0	0	0.50005712	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA	NA	NA	4	12	7	2.84187135	53	6.87969	25	18.3187	38	19.8334	0.978529176157973	0	15889	NA	NA	176.04161	1	0.72829324	0	0	9.73030949892305	NA	NA	0.27494606	NA	NA	1.113118	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0975	NA	unknown
TFCP2L1	NA	NA	NA	NA	499	0.296	27	1.73552	0.913285	0.500242	0.642544	0.682947	0.395275	1.12453	0.260822	0.20275	0.892061	0.411347	0.611894	0.363689	0.337188	0.218893	0.276277	0.510702	0.635944	0.25322	0.548821	11.4149	0.0750164	0.265975	0.769542	0.364183	0.332756	20.781	0.246511	19.9571	0.247254	4.23618	0.200877	0.0971153	54.9775	54.8573	0.116381	6.59755	146.581	1.19037	0.357037	0.167055	2.94682	1.22795	17.1868	41.6371	53.0677	2.96317	3.39121	21.703	2.82164	87.165	0.191681	12.3067	0.152172	-1.046087	1.226129	-1.210712	-0.923907	-1.82578	-1.612025	1.606001	-6.643856	0.589064	0.91661	-0.504371	-0.794723	-6.643856	-1.736942	1.072362	0.577131	1.501253	0.959568	-0.458688	-0.912161	-2.471522	1.779671	-6.643856	-0.238701	-6.643856	0.786868	2.057148	0.513906	0.666598	-0.998734	1.286264	-0.383822	0.566951	-1.185741	-2.033236	-0.869301	-0.798055	-1.574275	0.368457	0.219981	0.282141	2.213136	-1.31621	1.020217	-0.113711	-0.695781	0.978626	-6.643856	0.913928	0.076803	0.506974584	0	0	0	0.506974584	NA	NA	NA	NA	NA	-0.4	NA	0	0.00313283	0	0	0.008	3	54	2	3.78666829	60	9.33382	NA	NA	NA	NA	0.999192586615908	1	68620	NA	NA	222.44013	1	0.767620981	0	0	NA	NA	NA	NA	NA	NA	1.89657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
TFG	0.055	0.216	0	NA	39	0.5841	NA	43.8828	44.0309	39.8681	53.8431	51.3622	49.4144	38.5223	15.9944	18.1359	18.9777	39.6386	38.6896	23.3647	24.8599	16.9732	22.4154	21.035	15.6445	28.9508	18.0705	42.9527	86.6442	61.6419	49.4635	48.0826	38.9553	39.2102	36.9059	51.7043	36.707	50.5033	30.2871	22.4609	24.3745	35.6197	32.0978	49.8972	40.5149	21.7462	55.2945	47.8585	19.5774	53.2935	40.9761	42.2441	43.471	41.6676	31.1281	30.1471	45.0774	60.1058	52.7923	50.4497	9.92976	-0.148638	-0.240081	0.066821	-0.336917	-0.392332	-0.192062	0.194912	0.097131	-0.096466	0.131324	0.099459	0.068856	0.076395	0.087364	0.07926	0.125844	-0.098165	-0.05804	-0.240348	-0.270632	-0.48623	-0.452554	-0.090314	-0.200705	-0.154044	0.109799	0.188521	0.105277	0.134716	-0.355164	-0.927055	-0.247279	0.43755	0.154569	-0.19467	-0.082657	-0.431489	-0.541151	-0.098009	0.068843	-0.0799	0.364908	0.052965	-0.181833	-0.267026	-0.324259	0.384944	-0.539073	0.181563	NA	0.500047573	0	0	0	0.500047573	NA	NA	NA	NA	NA	-0.23	NA	NA	NA	NA	NA	NA	2	8	7	3.61362816	86	8.68279	23	34.1027	23	12.6738	0.757056423125628	NA	39605	NA	NA	55.5296	1	0.653748095	0	0	22.7237052893922	NA	NA	NA	0.04	NA	1.071456	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.453	NA	unknown
TGFB2	NA	NA	NA	NA	63	0.5422	98.5228787452803	2.39727	2.56023	0.850419	7.73681	7.61917	7.40034	4.3845	4.43787	5.47199	5.10943	1.28582	2.54144	6.11129	6.50087	3.2754	2.44567	4.19539	3.44847	2.18488	1.93827	4.39012	1.91383	0.08255	14.9228	12.2566	4.97812	1.60439	2.77079	0.770265	3.17813	5.84434	1.91116	0.735503	0.724132	1.68272	0.198487	7.72096	15.0134	2.18104	5.22052	7.42376	1.06842	2.36266	10.2184	2.02955	2.6518	0.723206	1.25751	1.58176	1.88113	4.29659	6.18963	7.11927	0.0177084	0.763873	0.809833	0.915707	0.200701	2.729883	-0.299256	0.962577	0.40861	-0.185188	2.871463	0.932049	0.657149	0.641958	-1.804071	1.10892	-0.287806	1.092136	2.297115	2.128437	0.417845	-0.219223	1.278612	-0.345982	-0.516754	-1.134198	-0.280242	-0.195434	-1.784211	-4.08954	-3.483328	-6.643856	0.240481	0.635969	-1.404118	-0.168236	0.644453	0.718007	0.600599	0.310341	0.760143	0.516531	0.690837	0.80356	0.496142	-0.295145	-0.426312	2.571194	0.685307	NA	0.032561	0.957427108	0.957427108	0	0	0.515853804	NA	NA	NA	NA	NA	-0.05	NA	0	0.00156642	0	0	0.041	1	45	495	5.93506461	223	9.1537	74	6.213	177	9.19059	0.9891155078203	5	98384	NA	NA	21.45278	1	0.850708902	0	0	NA	NA	NA	NA	NA	NA	2.255783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
THADA	0.094	0.312	0	NA	1586	-0.8799	76.0969100130081	7.59889	5.96481	4.65945	7.66979	7.04586	7.69317	8.04062	1.29417	1.32424	1.99421	2.98965	2.96397	1.75764	1.78139	1.45609	1.89644	2.07572	1.62766	2.37157	1.74224	7.61706	10.0898	6.63014	10.4087	10.6752	5.95067	4.28802	5.52956	5.21833	5.34898	8.47856	2.95308	1.89842	2.71041	3.99831	2.14231	7.45778	6.10234	2.55632	9.78914	9.14113	2.76943	7.29693	8.79979	8.54	8.51944	5.56872	6.8798	4.26141	8.38368	10.9176	10.3428	8.27278	2.48733	-0.143669	-0.123095	0.383175	-0.098009	-0.108492	0.24255	0.319818	-0.899912	-0.257296	0.436515	-0.54438	-0.117966	-0.13327	-0.669943	-0.161648	-0.137489	-0.146567	0.318153	-0.21896	-0.185375	-0.174407	-0.163536	-0.372752	-0.284302	-0.065994	0.064188	-0.060003	-0.145068	0.089516	-0.554754	-0.752829	0.107692	0.155606	-0.117416	-0.069914	-0.108949	-0.089768	0.43927	-0.382293	0.131975	-0.085846	-0.52293	0.171841	-0.117594	-0.097568	-0.071742	0.1519	-0.678423	-0.111836	0.010672	0.500232363	0	0	0	0.500232363	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	7	287	11285	1.95448628	1356	10.0266	268	9.07811	714	8.87897	0.000000000000000000000000000124008146143984	16	429385	NA	NA	4895.75241	1	0.250911236	0	0	NA	NA	NA	NA	0.998	0.997405990562552	3.412272	0.47066	0.15394	0.36746	0.49847	0.58447	0.58683	0.147	0.79616	0.92422	1	0.54797	unknown
THAP3	0.244	0.436	0	NA	1	NA	20.0457574905607	15.5248	13.0125	13.386	18.0697	16.7423	18.7387	18.4735	6.75787	8.17608	7.60744	20.8369	19.1858	10.0081	10.5878	7.17435	8.88335	7.99814	6.81804	10.0155	7.5017	15.6909	12.2274	13.57	21.5415	23.0179	17.4217	10.1118	17.1574	8.58499	16.0039	21.488	6.06368	4.76757	8.08688	9.30258	6.27883	13.2938	9.64256	8.22945	20.747	20.5295	5.89314	15.6237	18.2883	12.1192	12.4705	10.1346	14.5011	9.60116	18.3293	19.5757	23.448	16.612	5.63377	-0.240885	-0.178344	-0.286555	-0.232471	-0.244767	-0.253881	-0.094395	-0.157537	-0.271546	-0.136431	0.293331	-0.099048	-0.146026	-0.06509	-0.133875	0.180068	-0.484294	0.584123	0.266368	-0.206066	-0.148141	-0.255575	-0.094487	-0.167112	-0.164821	-0.176586	-0.171645	-0.220982	-0.186766	0.20976	-0.229082	-0.234336	-0.362573	-0.309398	-0.103852	-0.361538	-0.134627	-0.117016	0.09968	-0.145828	-0.185762	-0.107203	-0.127983	-0.138426	0.275031	-0.164993	-0.138619	-0.209499	0.19619	0.11631	0.500008435	0	0	0	0.500008435	NA	NA	NA	NA	NA	1.02	NA	NA	NA	NA	NA	NA	1	18	6	NA	26	7.64773	14	15.3795	14	5.809	0.00148422474585026	4	10720	NA	NA	127.55619	1	0.153042644	0	0	NA	5.2836	NA	NA	NA	NA	0.749071	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.422	NA	unknown
THAP9	NA	NA	NA	NA	1	NA	8.69897000433602	2.55318	2.04031	2.13661	2.09887	2.35397	1.97604	3.31406	2.07662	1.89095	2.39547	3.56489	3.66048	2.24881	2.21051	2.3942	2.41013	2.23676	2.03741	4.91386	2.5463	2.86499	2.29568	3.52059	4.15236	4.25766	2.48288	1.96963	2.18404	1.90114	2.13538	3.81825	1.51021	1.4289	1.99652	2.9721	1.75391	2.25784	3.08845	3.76921	4.06708	5.44255	1.35611	5.47145	3.95648	2.07114	1.96035	2.10891	2.3902	1.81625	18.6954	6.42328	4.02212	3.19391	0.314634	0.267274	-0.630365	0.392501	0.115436	0.187635	0.170672	-0.790458	0.207851	-0.878816	-0.179554	0.146582	-0.788084	-0.333144	-0.184217	-0.284311	-0.219569	0.219608	-0.771413	-0.249479	-0.071595	-0.782513	-1.299314	0.145232	0.149975	-0.382776	-0.125719	-0.145102	0.237052	0.250541	1.048571	0.436381	-0.110062	-0.572831	0.11026	-0.20041	0.183974	0.112797	0.18168	0.731574	0.272482	-0.111968	-0.603229	-0.61666	-0.283503	0.065014	0.099303	0.716429	0.18624	0.256003	0.067763	0	0	0	0	0	NA	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA	4	3	NA	40	9.26166	10	79.6151	23	3.46301	0.000000000747715130371729	1	19285	NA	NA	1979.28923	NA	0.224779755	0	0	NA	NA	NA	NA	NA	NA	0.951808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
THOC7	NA	NA	NA	NA	96	0.2156	10.5228787452803	61.2645	46.0854	43.1089	63.0784	68.5612	80.2032	56.8606	41.4697	48.5222	42.5299	44.4694	36.26	44.7924	62.1805	42.6888	40.9642	47.6333	35.6785	47.1348	39.7906	52.3166	89.6609	109.128	60.3539	56.4914	75.6502	48.216	62.5165	64.7938	69.4684	56.3231	33.6829	33.0192	27.1953	42.5068	18.0299	45.65	37.153	46.463	69.4768	50.4384	23.9356	39.8871	45.3923	49.5539	45.5256	37.0297	32.7283	33.244	50.2917	40.5414	60.8546	60.4727	14.1632	-0.214799	-0.219816	0.076764	-0.12335	-0.107315	0.079324	-0.170129	0.205403	0.214663	0.192401	-0.15059	0.139403	0.211364	0.214151	0.128964	0.223931	0.162594	-0.183351	0.165908	-0.191338	0.063947	0.154337	0.243528	-0.271233	0.067888	-0.330356	-0.099572	0.049804	0.055915	-0.350306	0.308112	-0.113657	0.387476	-0.217883	0.037312	-0.154863	-0.104615	0.07963	-0.292004	0.187722	-0.059657	0.202862	0.266982	0.112235	0.155481	0.067468	0.207654	-1.223531	0.073238	0.77209	0.500098011	0	0	0	0.500098011	NA	NA	NA	NA	NA	-0.16	NA	NA	NA	NA	NA	NA	1	11	NA	8.89541713	35	7.66037	12	27.2192	24	4.37311	0.978320488745139	20	30033	NA	NA	13.98772	1	0.748812795	0	0	NA	NA	NA	NA	0.986	NA	1.340296	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.261	NA	unknown
THSD4	NA	NA	NA	NA	63	-0.4059	196.301029995664	0.785658	3.46302	5.73267	30.3141	1.94094	13.688	14.0435	0.964432	1.34897	2.33348	0.801207	1.21274	1.83132	1.45274	1.51369	1.81321	1.56588	1.79762	1.7594	2.00701	5.91862	7.74473	0.061143	25.1751	22.98	1.08131	4.68283	4.15815	48.0349	1.97066	34.3787	10.5807	13.1126	3.42158	11.4987	2.35992	11.0809	10.1504	0.700988	9.14912	3.15609	2.10409	5.38429	31.8044	7.93084	7.4814	4.67025	1.25978	7.22619	3.6833	10.6037	21.1778	38.1535	0.0185221	0.848518	0.759393	-0.974222	0.42194	0.650073	0.72238	-2.047346	-0.585729	0.287638	-3.411623	-0.538625	-1.007947	0.901521	0.741337	-0.645718	0.411807	0.464348	2.754185	-1.38428	0.762647	0.86173	1.017105	0.746298	0.498484	0.628533	-0.497654	1.123367	-0.146244	-0.109757	1.196837	1.414424	-0.196717	0.733915	1.644469	0.252137	-0.707963	-0.172807	-0.354393	0.743308	-0.220859	-0.158959	1.200917	-3.856552	1.129878	-0.341838	-0.174571	1.409431	0.697184	NA	0.046013	0	0	0	0	0	NA	NA	NA	NA	NA	-0.94	NA	0	0.00689223	0	0	0.004	2	491	1056	2.94934373	1861	8.97857	452	9.19865	792	10.13	0.00181827156769691	1	686431	NA	NA	745.2967	1	0.492040008	0	0	NA	0.0030955	NA	NA	1	0.998931015199031	4.405704	0.86767	0.74766	0.7269	0.84662	0.88671	0.94857	0.64	0.98973	0.98806	0.539	0.98675	unknown
THSD7B	0.26	0.386	0	NA	147	1.1895	13.2218487496164	1.18429	1.5059	0.0429789	3.21633	0.817717	0.678354	0.202376	0.358016	0.406125	0.251869	0.228292	0.279104	0.305638	0.330556	0.384431	0.782117	0.235392	0.210237	0.863956	0.297263	1.1328	0.142417	0.00654424	0.204207	0.163722	0.193823	0.123629	0.1938	0.260662	0.166536	0.120872	0.22128	0.0730567	0.388573	0.623894	0.0212387	0.101908	0.207066	0.0450067	1.818	0.120503	0.0171034	1.20194	0.525798	0.0689307	0.0811454	0.0996772	0.0129657	0.0667549	0.579231	1.19267	0.0761321	0.32917	0	0.494388	0.361434	NA	0.794353	1.342311	0.872788	0.653115	1.011992	0.83725	-0.928789	-0.83891	-0.933018	0.438161	1.317199	0.341587	-2.068686	0.871112	0.555565	-5.123099	0.518601	1.347467	NA	-0.683963	-6.643856	0.967719	1.236513	-1.247564	1.495126	1.222536	0.942659	NA	1.513731	-2.769851	-1.088192	0.768975	1.306854	NA	-0.586706	-2.078201	2.127105	0.496845	1.456109	NA	0.820621	1.261797	0.586165	1.465887	1.170845	NA	0.0077137	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	166	5	0	317	8.14662	60	5.30692	215	4.96186	0.00000565285413355626	10	912172	NA	NA	4772.07743	1	0.487344384	0	0	NA	NA	1.5	NA	1	0.998306219019157	4.315736	0.85425	0.50053	0.49666	0.67214	0.7254	0.86243	0.425	0.98779	0.43195	0.483	0.99158	unknown
TIE1	NA	NA	NA	NA	605	-0.5972	23.301029995664	51.2593	51.1398	8.85016	8.56728	21.1416	10.42	17.1382	3.44402	3.64774	5.14842	2.85315	4.59225	7.71235	5.38301	4.65968	4.68432	3.5534	5.05117	7.03426	5.8996	46.6042	0.116607	0.789236	20.4812	25.3042	12.1676	8.55903	17.9218	5.89332	17.9374	23.7193	12.538	11.7332	10.3024	16.2121	2.72232	46.8579	7.0465	7.44835	31.4826	9.15414	1.68092	10.0285	13.8653	7.02585	9.09955	10.8714	24.1622	6.5064	4.99449	38.8829	38.6674	13.9492	0.215521	0.334405	0.332459	-0.217615	0.235373	1.327789	0.222702	0.496196	-6.643856	0.27264	-0.372441	0.299818	0.330258	1.059503	-0.475176	0.879995	-1.442698	-0.800086	0.565484	-1.806845	-0.38526	1.77004	-6.643856	-0.223143	0.21075	0.260091	-0.161044	0.253608	-0.189566	0.302682	-0.53097	-0.291576	0.243763	-0.49501	0.446049	0.220007	-1.382997	0.210765	-1.269292	-0.317203	0.294672	0.298889	0.299859	-0.145175	-0.273034	0.175907	-0.193024	0.314869	0.50136	0.888553	0.0011397	0.500565865	0	0.500051123	0	0.500565865	NA	NA	NA	NA	NA	-1.97	NA	0.413462	0.00194301	0	0	0.025	NA	18	NA	2.99486835	50	9.343565	29	44.1092	36	17.2467	0.00000000000871416663313257	6	22115	NA	NA	155.13715	1	0.685284317	0	0	NA	NA	NA	NA	NA	NA	1.331271	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.589	NA	unknown
TLN1	NA	NA	NA	NA	181	-0.4662	21.301029995664	237.499	176.28	108.651	646.765	450.808	772.218	257.1	18.7215	16.7242	23.2252	35.7983	40.3616	24.4148	17.6407	18.8478	20.6554	19.4787	21.2762	42.849	24.3635	166.043	307.837	147.251	214.533	221.218	432.784	159.818	467.079	70.6938	485.004	271.922	93.9911	63.4084	50.3389	68.5193	34.1568	229.551	73.466	67.2421	253.5	156.139	27.6973	85.4168	141.801	74.3551	93.155	129.018	191.587	79.3931	65.6243	130.045	350.964	140.474	148.493	0.12771	-0.077621	0.135972	0.155144	-0.467564	0.039751	-0.53154	0.535193	-0.397617	0.080219	-0.274546	-0.349584	0.231743	0.388061	0.494349	0.110202	0.320582	-1.170089	0.356796	-0.090252	0.020531	0.178556	0.052804	-0.028144	-0.044246	-0.034053	0.023696	-0.158254	-0.080681	-0.153435	-0.26464	0.047025	0.374805	-0.288153	-0.058569	-0.098227	0.165148	0.058314	-0.090542	-0.114092	-0.089893	-0.030733	-0.1043	-0.120399	-0.048316	-0.064092	-1.454556	-0.620231	0.233959	0.042325	0.504154117	0	0	0	0.504154117	NA	NA	NA	NA	NA	-3.42	NA	NA	NA	NA	NA	NA	NA	26	24	7.96584047	69	9.75511	21	46.7949	31	14.2604	0.999999999998354	4	35447	NA	NA	1723.9194	1	0.801729143	1	2	14.4777143524669	NA	NA	0.460351733	NA	NA	5.98608	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.612	NA	unknown
